accession_id,virus_name,location,collection_date
EPI_ISL_414691,hCoV-19/Guangzhou/GZMU0048/2020,Asia / China / Guangdong / Guangzhou,2020-02-25
EPI_ISL_424014,hCoV-19/England/20129022804/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425345,hCoV-19/England/CAMB-74ABE/2020,Europe / United Kingdom / England,2020-03-17
EPI_ISL_414690,hCoV-19/Guangzhou/GZMU0047/2020,Asia / China / Guangdong / Guangzhou,2020-02-25
EPI_ISL_424013,hCoV-19/England/20129021604/2020,Europe / United Kingdom / England,2020-03-21
EPI_ISL_425344,hCoV-19/England/CAMB-74A72/2020,Europe / United Kingdom / England,2020-03-17
EPI_ISL_412030,hCoV-19/Hong Kong/VB20026565/2020,Asia / Hong Kong,2020-02-01
EPI_ISL_424012,hCoV-19/England/20129020604/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425343,hCoV-19/England/CAMB-74A18/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_414692,hCoV-19/Guangzhou/GZMU0014/2020,Asia / China / Guangdong / Guangzhou,2020-02-25
EPI_ISL_424011,hCoV-19/England/20129020504/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425342,hCoV-19/England/CAMB-74A09/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_424010,hCoV-19/England/20129020304/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_425341,hCoV-19/England/CAMB-749A2/2020,Europe / United Kingdom / England,2020-03-18
EPI_ISL_425340,hCoV-19/England/CAMB-74984/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_412034,hCoV-19/Wuhan/Tongji-01/2020,Asia / China / Wuhan,2020-01
EPI_ISL_412035,hCoV-19/Wuhan/Tongji-02/2020,Asia / China / Wuhan,2020-01
EPI_ISL_412036,hCoV-19/Wuhan/Tongji-03/2020,Asia / China / Wuhan,2020-01
EPI_ISL_412037,hCoV-19/Wuhan/Tongji-04/2020,Asia / China / Wuhan,2020-01
EPI_ISL_412038,hCoV-19/Wuhan/Tongji-05/2020,Asia / China / Wuhan,2020-01
EPI_ISL_412039,hCoV-19/Wuhan/Tongji-06/2020,Asia / China / Wuhan,2020-01
EPI_ISL_412029,hCoV-19/Hong Kong/VB20024950/2020,Asia / Hong Kong,2020-01-30
EPI_ISL_426640,hCoV-19/Australia/VIC330/2020,Oceania / Australia / Victoria,2020-03-18
EPI_ISL_426641,hCoV-19/Australia/VIC332/2020,Oceania / Australia / Victoria,2020-03-18
EPI_ISL_426642,hCoV-19/Australia/VIC333/2020,Oceania / Australia / Victoria,2020-03-18
EPI_ISL_426643,hCoV-19/Australia/VIC334/2020,Oceania / Australia / Victoria,2020-03-19
EPI_ISL_426644,hCoV-19/Australia/VIC335/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_426645,hCoV-19/Australia/VIC336/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_424009,hCoV-19/England/20129020004/2020,Europe / United Kingdom / England,2020-03-20
EPI_ISL_426646,hCoV-19/Australia/VIC337/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_424008,hCoV-19/England/20129019604/2020,Europe / United Kingdom / England,2020-03-20
