accession_id,virus_name,location,collection_date
EPI_ISL_417141,hCoV-19/USA/WA-S88/2020,North America / USA / Washington / King County,2020-03-01
EPI_ISL_420793,hCoV-19/USA/NY_2929/2020,North America / USA / New York,2020-03-02
EPI_ISL_417142,hCoV-19/USA/WA-S89/2020,North America / USA / Washington / Umatilla County,2020-02-29
EPI_ISL_420792,hCoV-19/USA/NH_0008/2020,North America / USA / New Hampshire,2020-03-02
EPI_ISL_420795,hCoV-19/USA/RI_0556/2020,North America / USA / Rhode Island,2020-03-01
EPI_ISL_417140,hCoV-19/USA/WA-S87/2020,North America / USA / Washington / King County,2020-03-01
EPI_ISL_420794,hCoV-19/USA/OR_5430/2020,North America / USA / Oregon,2020-03-01
EPI_ISL_417145,hCoV-19/USA/WA-S92/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417146,hCoV-19/USA/WA-S93/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417143,hCoV-19/USA/WA-S90/2020,North America / USA / Washington / Umatilla County,2020-02-29
EPI_ISL_420791,hCoV-19/USA/NH_0004/2020,North America / USA / New Hampshire,2020-02-29
EPI_ISL_417144,hCoV-19/USA/WA-S91/2020,North America / USA / Washington / Snohomish County,2020-03-02
EPI_ISL_420790,hCoV-19/USA/IL_1293/2020,North America / USA / Illinois,2020-03-01
EPI_ISL_417149,hCoV-19/USA/WA-S96/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417147,hCoV-19/USA/WA-S94/2020,North America / USA / Washington / Snohomish County,2020-02-28
EPI_ISL_417148,hCoV-19/USA/WA-S95/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_420789,hCoV-19/USA/IL_1375/2020,North America / USA / Illinois,2020-03-01
EPI_ISL_420786,hCoV-19/USA/GA_1320/2020,North America / USA / Georgia,2020-03-03
EPI_ISL_420785,hCoV-19/USA/FL_6318/2020,North America / USA / Florida,2020-03-02
EPI_ISL_420788,hCoV-19/USA/GA_1445/2020,North America / USA / Georgia,2020-03-04
EPI_ISL_420787,hCoV-19/USA/GA_1299/2020,North America / USA / Georgia,2020-03-03
EPI_ISL_417130,hCoV-19/USA/WA-S77/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_419793,hCoV-19/Australia/VIC81/2020,Oceania / Australia / Victoria,2020-03-14
EPI_ISL_417131,hCoV-19/USA/WA-S78/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_419792,hCoV-19/Australia/VIC80/2020,Oceania / Australia / Victoria,2020-03-14
EPI_ISL_419791,hCoV-19/Australia/VIC79/2020,Oceania / Australia / Victoria,2020-03-14
EPI_ISL_420784,hCoV-19/USA/AZ_4811/2020,North America / USA / Arizona,2020-03-02
EPI_ISL_419790,hCoV-19/Australia/VIC78/2020,Oceania / Australia / Victoria,2020-03-14
EPI_ISL_417134,hCoV-19/USA/WA-S81/2020,North America / USA / Washington / King County,2020-02-26
EPI_ISL_419797,hCoV-19/Australia/VIC87/2020,Oceania / Australia / Victoria,2020-03-15
EPI_ISL_417135,hCoV-19/USA/WA-S82/2020,North America / USA / Washington / King County,2020-02-22
EPI_ISL_419796,hCoV-19/Australia/VIC86/2020,Oceania / Australia / Victoria,2020-03-15
EPI_ISL_417132,hCoV-19/USA/WA-S79/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_419795,hCoV-19/Australia/VIC85/2020,Oceania / Australia / Victoria,2020-03-15
EPI_ISL_417133,hCoV-19/USA/WA-S80/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_419794,hCoV-19/Australia/VIC82/2020,Oceania / Australia / Victoria,2020-03-14
EPI_ISL_417138,hCoV-19/USA/WA-S85/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_417139,hCoV-19/USA/WA-S86/2020,North America / USA / Washington / King County,2020-03-01
EPI_ISL_417136,hCoV-19/USA/WA-S83/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_419799,hCoV-19/Australia/VIC83/2020,Oceania / Australia / Victoria,2020-03-14
EPI_ISL_417137,hCoV-19/USA/WA-S84/2020,North America / USA / Washington / King County,2020-02-21
EPI_ISL_419798,hCoV-19/Australia/VIC88/2020,Oceania / Australia / Victoria,2020-03-15
EPI_ISL_420775,hCoV-19/England/20142062904/2020,Europe / United Kingdom / England,2020-03-30
EPI_ISL_420774,hCoV-19/England/20142062604/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420777,hCoV-19/England/20142063404/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420776,hCoV-19/England/20142063004/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_417163,hCoV-19/USA/WA-S110/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_417164,hCoV-19/USA/WA-S111/2020,North America / USA / Washington / King County,2020-03-07
EPI_ISL_417161,hCoV-19/USA/WA-S108/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417162,hCoV-19/USA/WA-S109/2020,North America / USA / Washington / Snohomish County,2020-03-01
EPI_ISL_417167,hCoV-19/USA/WA-S114/2020,North America / USA / Washington / Snohomish County,2020-03-05
EPI_ISL_417168,hCoV-19/USA/WA-S115/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417165,hCoV-19/USA/WA-S112/2020,North America / USA / Washington / King County,2020-03-08
EPI_ISL_417166,hCoV-19/USA/WA-S113/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417169,hCoV-19/USA/WA-S116/2020,North America / USA / Washington,2020-03-02
EPI_ISL_417160,hCoV-19/USA/WA-S107/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417152,hCoV-19/USA/WA-S99/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417153,hCoV-19/USA/WA-S100/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417150,hCoV-19/USA/WA-S97/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417151,hCoV-19/USA/WA-S98/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_417156,hCoV-19/USA/WA-S103/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417157,hCoV-19/USA/WA-S104/2020,North America / USA / Washington / Snohomish County,2020-03-05
EPI_ISL_417154,hCoV-19/USA/WA-S101/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417155,hCoV-19/USA/WA-S102/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417158,hCoV-19/USA/WA-S105/2020,North America / USA / Washington / King County,2020-02-28
EPI_ISL_417159,hCoV-19/USA/WA-S106/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_420797,hCoV-19/USA/TX_2817/2020,North America / USA / Texas,2020-03-01
EPI_ISL_420796,hCoV-19/USA/TX_2039/2020,North America / USA / Texas,2020-02-29
EPI_ISL_420799,hCoV-19/Korea/BA-ACH_2604/2020,Asia / Korea,2020-02-27
EPI_ISL_420798,hCoV-19/USA/TX_2967/2020,North America / USA / Texas,2020-03-01
EPI_ISL_417185,hCoV-19/Hong Kong/HKPU28_3001/2020,Asia / Hong Kong,2020-02-09
EPI_ISL_417186,hCoV-19/South Africa/R03006-20/2020,Africa / South Africa / KZN,2020-03-07
EPI_ISL_417183,hCoV-19/Hong Kong/HKPU23_2601/2020,Asia / Hong Kong,2020-01-30
EPI_ISL_417184,hCoV-19/Hong Kong/HKPU27_3001/2020,Asia / Hong Kong,2020-02-08
EPI_ISL_417189,hCoV-19/USA/MN4-MDH4/2020,North America / USA / Minnesota,2020-03-09
EPI_ISL_417187,hCoV-19/Hong Kong/HKPU29_0102/2020,Asia / Hong Kong,2020-02-08
EPI_ISL_417188,hCoV-19/Hong Kong/HKPU30_2901/2020,Asia / Hong Kong,2020-02-08
EPI_ISL_417181,hCoV-19/Hong Kong/HKPU19_0402/2020,Asia / Hong Kong,2020-02-05
EPI_ISL_417182,hCoV-19/Hong Kong/HKPU20_3001/2020,Asia / Hong Kong,2020-02-05
EPI_ISL_417180,hCoV-19/Hong Kong/HKPU17_2201/2020,Asia / Hong Kong,2020-02-03
EPI_ISL_426900,hCoV-19/Australia/NT12/2020,Oceania / Australia / Northern territory,2020-03-25
EPI_ISL_417174,hCoV-19/USA/WA-S121/2020,North America / USA / Washington / King County,2020-03-01
EPI_ISL_426901,hCoV-19/Australia/NT13/2020,Oceania / Australia / Northern territory,2020-03-25
EPI_ISL_417175,hCoV-19/USA/WA-S122/2020,North America / USA / Washington / Grant County,2020-03-02
EPI_ISL_426902,hCoV-19/Australia/NT14/2020,Oceania / Australia / Northern territory,2020-03-26
EPI_ISL_417172,hCoV-19/USA/WA-S119/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_426903,hCoV-19/Australia/NT16/2020,Oceania / Australia / Northern territory,2020-03-24
EPI_ISL_417173,hCoV-19/USA/WA-S120/2020,North America / USA / Washington / King County,2020-03-01
EPI_ISL_426904,hCoV-19/Australia/NT17/2020,Oceania / Australia / Northern territory,2020-03-24
EPI_ISL_417178,hCoV-19/Hong Kong/HKPU6_2101/2020,Asia / Hong Kong,2020-01-25
EPI_ISL_426905,hCoV-19/Australia/VIC390/2020,Oceania / Australia / Victoria,2020-03-23
EPI_ISL_417179,hCoV-19/Hong Kong/HKPU12_2201/2020,Asia / Hong Kong,2020-01-30
EPI_ISL_426906,hCoV-19/Australia/VIC473/2020,Oceania / Australia / Victoria,2020-03-28
EPI_ISL_417176,hCoV-19/Hong Kong/HKPU1_2101/2020,Asia / Hong Kong,2020-01-21
EPI_ISL_426907,hCoV-19/Australia/VIC475/2020,Oceania / Australia / Victoria,2020-03-28
EPI_ISL_417177,hCoV-19/Hong Kong/HKPU2_1801/2020,Asia / Hong Kong,2020-01-23
EPI_ISL_426908,hCoV-19/Australia/VIC476/2020,Oceania / Australia / Victoria,2020-03-28
EPI_ISL_426909,hCoV-19/Australia/VIC477/2020,Oceania / Australia / Victoria,2020-03-28
EPI_ISL_417170,hCoV-19/USA/WA-S117/2020,North America / USA / Washington,2020-03-02
EPI_ISL_417171,hCoV-19/USA/WA-S118/2020,North America / USA / Washington / King County,2020-03-01
EPI_ISL_426910,hCoV-19/Australia/VIC478/2020,Oceania / Australia / Victoria,2020-03-28
EPI_ISL_426911,hCoV-19/Australia/VIC479/2020,Oceania / Australia / Victoria,2020-03-28
EPI_ISL_413600,hCoV-19/Australia/NSW14/2020,Oceania / Australia / NSW / Sydney,2020-03-03
EPI_ISL_413601,hCoV-19/USA/WA13-UW9/2020,North America / USA / Washington,2020-03-02
EPI_ISL_417196,hCoV-19/USA/MN29-MDH29/2020,North America / USA / Minnesota,2020-03-11
EPI_ISL_417197,hCoV-19/Hong Kong/HKPU34_3001/2020,Asia / Hong Kong,2020-02-09
EPI_ISL_417194,hCoV-19/USA/MN26-MDH26/2020,North America / USA / Minnesota,2020-03-12
EPI_ISL_417195,hCoV-19/Hong Kong/HKPU33_0202/2020,Asia / Hong Kong,2020-02-09
EPI_ISL_417198,hCoV-19/USA/MN30-MDH30/2020,North America / USA / Minnesota,2020-03-12
EPI_ISL_417199,hCoV-19/Hong Kong/HKPU35_0402/2020,Asia / Hong Kong,2020-02-09
EPI_ISL_417192,hCoV-19/USA/MN25-MDH25/2020,North America / USA / Minnesota,2020-03-12
EPI_ISL_417193,hCoV-19/Hong Kong/HKPU32_0402/2020,Asia / Hong Kong,2020-02-09
EPI_ISL_417190,hCoV-19/Hong Kong/HKPU_2801/2020,Asia / Hong Kong,2020-02-08
EPI_ISL_417191,hCoV-19/USA/MN5-MDH5/2020,North America / USA / Minnesota,2020-03-10
EPI_ISL_419720,hCoV-19/Australia/VIC107/2020,Oceania / Australia / Victoria,2020-03-17
EPI_ISL_419724,hCoV-19/Australia/VIC122/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_419723,hCoV-19/Australia/VIC121/2020,Oceania / Australia / Victoria,2020-03-18
EPI_ISL_419722,hCoV-19/Australia/VIC120/2020,Oceania / Australia / Victoria,2020-03-19
EPI_ISL_419721,hCoV-19/Australia/VIC116/2020,Oceania / Australia / Victoria,2020-03-19
EPI_ISL_419728,hCoV-19/Australia/VIC126/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_419727,hCoV-19/Australia/VIC117/2020,Oceania / Australia / Victoria,2020-03-19
EPI_ISL_419726,hCoV-19/Australia/VIC119/2020,Oceania / Australia / Victoria,2020-03-19
EPI_ISL_419725,hCoV-19/Australia/VIC114/2020,Oceania / Australia / Victoria,2020-03-18
EPI_ISL_420709,hCoV-19/England/20139053804/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_419719,hCoV-19/Australia/VIC118/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_419718,hCoV-19/Australia/VIC109/2020,Oceania / Australia / Victoria,2020-03-18
EPI_ISL_420706,hCoV-19/England/20139053004/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420705,hCoV-19/England/20139052904/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420708,hCoV-19/England/20139053504/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420707,hCoV-19/England/20139053304/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420702,hCoV-19/England/20139051704/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420701,hCoV-19/England/20139051304/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420704,hCoV-19/England/20139052704/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420703,hCoV-19/England/20139052004/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420700,hCoV-19/England/20139051004/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_419713,hCoV-19/USA/VA-DCLS-0021/2020,North America / USA / Virginia,2020-03-11
EPI_ISL_419712,hCoV-19/USA/VA-DCLS-0020/2020,North America / USA / Virginia,2020-03-10
EPI_ISL_419711,hCoV-19/USA/VA-DCLS-0017/2020,North America /USA / Virginia,2020-03-11
EPI_ISL_419710,hCoV-19/USA/VA-DCLS-0016/2020,North America / USA / Virginia,2020-03-12
EPI_ISL_419717,hCoV-19/Australia/VIC115/2020,Oceania / Australia / Victoria,2020-03-19
EPI_ISL_419716,hCoV-19/Australia/VIC110/2020,Oceania / Australia / Victoria,2020-03-18
EPI_ISL_419715,hCoV-19/Australia/VIC111/2020,Oceania / Australia / Victoria,2020-03-18
EPI_ISL_419714,hCoV-19/Australia/VIC108/2020,Oceania / Australia / Victoria,2020-03-18
EPI_ISL_419709,hCoV-19/Spain/PaisVasco201602/2020,Europe / Spain / BasqueCountry,2020-03-04
EPI_ISL_419708,hCoV-19/USA/VA-DCLS-0014/2020,North America / USA / Virginia,2020-03-12
EPI_ISL_419707,hCoV-19/Spain/Cataluna201397/2020,Europe / Spain / Catalonia,2020
EPI_ISL_418411,hCoV-19/Finland/14M82/2020,Europe / Finland / Helsinki,2020-03-14
EPI_ISL_419742,hCoV-19/Australia/VIC22/2020,Oceania / Australia / Victoria,2020-03-09
EPI_ISL_418410,hCoV-19/Finland/14M77/2020,Europe / Finland / Helsinki,2020-03-14
EPI_ISL_419741,hCoV-19/Australia/VIC20/2020,Oceania / Australia / Victoria,2020-03-08
EPI_ISL_419740,hCoV-19/Australia/VIC21/2020,Oceania / Australia / Victoria,2020-03-09
EPI_ISL_418415,hCoV-19/France/ARA09451/2020,Europe / France / ARA / Valence,2020-03-15
EPI_ISL_419746,hCoV-19/Australia/VIC27/2020,Oceania / Australia / Victoria,2020-03-10
EPI_ISL_418414,hCoV-19/France/ARA09434/2020,Europe / France / ARA / Valence,2020-03-15
EPI_ISL_419745,hCoV-19/Australia/VIC26/2020,Oceania / Australia / Victoria,2020-03-10
EPI_ISL_418413,hCoV-19/France/ARA09428/2020,Europe / France / ARA / Macon,2020-03-15
EPI_ISL_419744,hCoV-19/Australia/VIC25/2020,Oceania / Australia / Victoria,2020-03-10
EPI_ISL_418412,hCoV-19/France/ARA094100/2020,Europe / France / ARA / Privas,2020-03-15
EPI_ISL_419743,hCoV-19/Australia/VIC23/2020,Oceania / Australia / Victoria,2020-03-09
EPI_ISL_418419,hCoV-19/France/ARA10165/2020,Europe / France / ARA / Lyon,2020-03-16
EPI_ISL_418418,hCoV-19/France/ARA10163/2020,Europe / France / ARA / Lyon,2020-03-16
EPI_ISL_419749,hCoV-19/Australia/VIC30/2020,Oceania / Australia / Victoria,2020-03-10
EPI_ISL_418417,hCoV-19/France/ARA09686/2020,Europe / France / ARA / Valence,2020-03-16
EPI_ISL_419748,hCoV-19/Australia/VIC29/2020,Oceania / Australia / Victoria,2020-03-10
EPI_ISL_418416,hCoV-19/France/ARA09588/2020,Europe / France / ARA / Venissieux,2020-03-16
EPI_ISL_419747,hCoV-19/Australia/VIC28/2020,Oceania / Australia / Victoria,2020-03-10
EPI_ISL_418409,hCoV-19/Finland/14M74/2020,Europe / Finland / Helsinki,2020-03-14
EPI_ISL_420728,hCoV-19/England/20139059504/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420727,hCoV-19/England/20139059004/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420729,hCoV-19/England/20139059804/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420724,hCoV-19/England/20139058304/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420723,hCoV-19/England/20139058104/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420726,hCoV-19/England/20139058604/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420725,hCoV-19/England/20139058404/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420720,hCoV-19/England/20139057504/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420722,hCoV-19/England/20139057704/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420721,hCoV-19/England/20139057604/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_418400,hCoV-19/Finland/13M83/2020,Europe / Finland,2020-03-13
EPI_ISL_419731,hCoV-19/Australia/VIC123/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_419730,hCoV-19/Australia/VIC128/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_418404,hCoV-19/Finland/14M16/2020,Europe / Finland,2020-03-14
EPI_ISL_419735,hCoV-19/Australia/VIC15/2020,Oceania / Australia / Victoria,2020-02-24
EPI_ISL_418403,hCoV-19/Finland/14M14/2020,Europe / Finland,2020-03-14
EPI_ISL_419734,hCoV-19/Australia/VIC14/2020,Oceania / Australia / Victoria,2020-02-02
EPI_ISL_418402,hCoV-19/Finland/14M13/2020,Europe / Finland,2020-03-14
EPI_ISL_419733,hCoV-19/Australia/VIC13/2020,Oceania / Australia / Victoria,2020-01-31
EPI_ISL_418401,hCoV-19/Finland/14M12/2020,Europe / Finland,2020-03-14
EPI_ISL_419732,hCoV-19/Australia/VIC129/2020,Oceania / Australia / Victoria,2020-03-21
EPI_ISL_418408,hCoV-19/Finland/14M32/2020,Europe / Finland / Helsinki,2020-03-14
EPI_ISL_419739,hCoV-19/Australia/VIC24/2020,Oceania / Australia / Victoria,2020-03-09
EPI_ISL_418407,hCoV-19/Finland/14M3/2020,Europe / Finland / Helsinki,2020-03-14
EPI_ISL_419738,hCoV-19/Australia/VIC19/2020,Oceania / Australia / Victoria,2020-03-08
EPI_ISL_418406,hCoV-19/Finland/14M26/2020,Europe / Finland,2020-03-14
EPI_ISL_419737,hCoV-19/Australia/VIC18/2020,Oceania / Australia / Victoria,2020-03-07
EPI_ISL_418405,hCoV-19/Finland/14M20/2020,Europe / Finland,2020-03-14
EPI_ISL_419736,hCoV-19/Australia/VIC17/2020,Oceania / Australia / Victoria,2020-03-07
EPI_ISL_419729,hCoV-19/Australia/VIC127/2020,Oceania / Australia / Victoria,2020-03-20
EPI_ISL_420717,hCoV-19/England/20139057004/2020,Europe / United Kingdom / England,2020-03-26
EPI_ISL_420716,hCoV-19/England/20139056904/2020,Europe / United Kingdom / England,2020-03-26
EPI_ISL_420719,hCoV-19/England/20139057404/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420718,hCoV-19/England/20139057204/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420713,hCoV-19/England/20139054904/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420712,hCoV-19/England/20139054704/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420715,hCoV-19/England/20139055304/2020,Europe / United Kingdom / England,2020-03-29
EPI_ISL_420714,hCoV-19/England/20139055204/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420711,hCoV-19/England/20139054504/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420710,hCoV-19/England/20139054004/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_419760,hCoV-19/Australia/VIC41/2020,Oceania / Australia / Victoria,2020-03-11
EPI_ISL_420751,hCoV-19/England/20140038704/2020,Europe / United Kingdom / England,2020-03-30
EPI_ISL_420750,hCoV-19/England/20140038604/2020,Europe / United Kingdom / England,2020-03-23
EPI_ISL_417101,hCoV-19/USA/WA-S48/2020,North America / USA / Washington / Snohomish County,2020-02-29
EPI_ISL_418433,hCoV-19/Switzerland/42177236/2020,Europe / Switzerland / Basel,2020-03-05
EPI_ISL_419764,hCoV-19/Australia/VIC49/2020,Oceania / Australia / Victoria,2020-03-12
EPI_ISL_417102,hCoV-19/USA/WA-S49/2020,North America / USA / Washington / King County,2020-03-04
EPI_ISL_418432,hCoV-19/France/ARA11036/2020,Europe / France / ARA / Lyon,2020-03-18
EPI_ISL_419763,hCoV-19/Australia/VIC43/2020,Oceania / Australia / Victoria,2020-03-11
EPI_ISL_418431,hCoV-19/France/ARA10968/2020,Europe / France / ARA / Lyon,2020-03-18
EPI_ISL_419762,hCoV-19/Australia/VIC48/2020,Oceania / Australia / Victoria,2020-03-12
EPI_ISL_417100,hCoV-19/USA/WA-S47/2020,North America / USA / Washington / Snohomish County,2020-02-29
EPI_ISL_418430,hCoV-19/France/ARA10910/2020,Europe / France / ARA / Lyon,2020-03-18
EPI_ISL_419761,hCoV-19/Australia/VIC42/2020,Oceania / Australia / Victoria,2020-03-11
EPI_ISL_417105,hCoV-19/USA/WA-S52/2020,North America / USA / Washington / Snohomish County,2020-03-03
EPI_ISL_418437,hCoV-19/Switzerland/42178712/2020,Europe / Switzerland / Basel,2020-03-06
EPI_ISL_419768,hCoV-19/Australia/VIC52/2020,Oceania / Australia / Victoria,2020-03-12
EPI_ISL_417106,hCoV-19/USA/WA-S53/2020,North America / USA / Washington / Snohomish County,2020-03-03
EPI_ISL_418436,hCoV-19/Switzerland/42177472/2020,Europe / Switzerland / Basel,2020-03-05
EPI_ISL_419767,hCoV-19/Australia/VIC44/2020,Oceania / Australia / Victoria,2020-03-11
EPI_ISL_417103,hCoV-19/USA/WA-S50/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_418435,hCoV-19/Switzerland/42177434/2020,Europe / Switzerland / Basel,2020-03-05
EPI_ISL_419766,hCoV-19/Australia/VIC50/2020,Oceania / Australia / Victoria,2020-03-12
EPI_ISL_417104,hCoV-19/USA/WA-S51/2020,North America / USA / Washington,2020-03-03
EPI_ISL_418434,hCoV-19/Switzerland/42177430/2020,Europe / Switzerland / Basel,2020-03-05
EPI_ISL_419765,hCoV-19/Australia/VIC36/2020,Oceania / Australia / Victoria,2020-03-10
EPI_ISL_417109,hCoV-19/USA/WA-S56/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_417107,hCoV-19/USA/WA-S54/2020,North America / USA / Washington / King County,2020-03-05
EPI_ISL_418439,hCoV-19/Switzerland/42202619/2020,Europe / Switzerland / Basel,2020-03-22
EPI_ISL_417108,hCoV-19/USA/WA-S55/2020,North America / USA / Washington / King County,2020-02-29
EPI_ISL_418438,hCoV-19/Switzerland/42202622/2020,Europe / Switzerland / Basel,2020-03-22
EPI_ISL_419769,hCoV-19/Australia/VIC53/2020,Oceania / Australia / Victoria,2020-03-12
EPI_ISL_420749,hCoV-19/England/20140037504/2020,Europe / United Kingdom / England,2020-03-25
EPI_ISL_420746,hCoV-19/England/20139063604/2020,Europe / United Kingdom / England,2020-03-25
EPI_ISL_420745,hCoV-19/England/20139063504/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420748,hCoV-19/England/20139063804/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420747,hCoV-19/England/20139063704/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420742,hCoV-19/England/20139062704/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420741,hCoV-19/England/20139062504/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420744,hCoV-19/England/20139063204/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420743,hCoV-19/England/20139062804/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420740,hCoV-19/England/20139062304/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_418422,hCoV-19/France/ARA10184/2020,Europe / France / ARA / Lyon,2020-03-17
EPI_ISL_419753,hCoV-19/Australia/VIC34/2020,Oceania / Australia / Victoria,2020-03-10
EPI_ISL_418421,hCoV-19/France/ARA10172/2020,Europe / France / ARA / Lyon,2020-03-17
EPI_ISL_419752,hCoV-19/Australia/VIC33/2020,Oceania / Australia / Victoria,2020-03-10
EPI_ISL_418420,hCoV-19/France/ARA10170/2020,Europe / France / ARA / Lyon,2020-03-17
EPI_ISL_419751,hCoV-19/Australia/VIC32/2020,Oceania / Australia / Victoria,2020-03-10
EPI_ISL_419750,hCoV-19/Australia/VIC31/2020,Oceania / Australia / Victoria,2020-03-10
EPI_ISL_418426,hCoV-19/France/ARA10251/2020,Europe / France / ARA / Bourg-en-Bresse,2020-03-17
EPI_ISL_419757,hCoV-19/Australia/VIC39/2020,Oceania / Australia / Victoria,2020-03-11
EPI_ISL_418425,hCoV-19/France/ARA10192/2020,Europe / France / ARA / Lyon,2020-03-17
EPI_ISL_419756,hCoV-19/Australia/VIC38/2020,Oceania / Australia / Victoria,2020-03-11
EPI_ISL_418424,hCoV-19/France/ARA10189/2020,Europe / France / ARA / Lyon,2020-03-17
EPI_ISL_419755,hCoV-19/Australia/VIC35/2020,Oceania / Australia / Victoria,2020-03-10
EPI_ISL_418423,hCoV-19/France/ARA10188/2020,Europe / France / ARA / Lyon,2020-03-17
EPI_ISL_419754,hCoV-19/Australia/VIC37/2020,Oceania / Australia / Victoria,2020-03-11
EPI_ISL_418429,hCoV-19/France/ARA10876/2020,Europe / France / ARA / Lyon,2020-03-18
EPI_ISL_418428,hCoV-19/France/ARA10282/2020,Europe / France / ARA / Vienne,2020-03-17
EPI_ISL_419759,hCoV-19/Australia/VIC47/2020,Oceania / Australia / Victoria,2020-03-12
EPI_ISL_418427,hCoV-19/France/ARA10257/2020,Europe / France / ARA / Saint-Priest,2020-03-17
EPI_ISL_419758,hCoV-19/Australia/VIC40/2020,Oceania / Australia / Victoria,2020-03-11
EPI_ISL_420739,hCoV-19/England/20139062204/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420738,hCoV-19/England/20139062104/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420735,hCoV-19/England/20139061104/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420734,hCoV-19/England/20139060804/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420737,hCoV-19/England/20139061804/2020,Europe / United Kingdom / England,2020-03-27
EPI_ISL_420736,hCoV-19/England/20139061704/2020,Europe / United Kingdom / England,2020-03-29
EPI_ISL_420731,hCoV-19/England/20139060004/2020,Europe / United Kingdom / England,2020-03-28
EPI_ISL_420730,hCoV-19/England/20139059904/2020,Europe / United Kingdom / England,2020-03-27
